,date,buy_in,sell_out
0,2018/1/31,4.524,4.686
1,2018/1/30,4.509,4.671
2,2018/1/29,4.508,4.67
3,2018/1/26,4.503,4.665
4,2018/1/25,4.484,4.646
5,2018/1/24,4.471,4.633
6,2018/1/23,4.474,4.636
7,2018/1/22,4.483,4.645
8,2018/1/19,4.497,4.659
9,2018/1/18,4.499,4.661
10,2018/1/17,4.492,4.654
11,2018/1/16,4.495,4.657
12,2018/1/15,4.487,4.649
13,2018/1/12,4.468,4.63
14,2018/1/11,4.446,4.608
15,2018/1/10,4.435,4.597
16,2018/1/9,4.431,4.593
17,2018/1/8,4.444,4.606
18,2018/1/5,4.454,4.616
19,2018/1/4,4.456,4.618
20,2018/1/3,4.453,4.615
21,2018/1/2,4.463,4.625
22,2018/2/27,4.533,4.695
23,2018/2/26,4.537,4.699
24,2018/2/23,4.526,4.688
25,2018/2/22,4.514,4.676
26,2018/2/21,4.507,4.669
27,2018/2/14,4.531,4.693
28,2018/2/13,4.528,4.69
29,2018/2/12,4.543,4.705
30,2018/2/9,4.556,4.718
31,2018/2/8,4.533,4.695
32,2018/2/7,4.565,4.727
33,2018/2/6,4.563,4.725
34,2018/2/5,4.547,4.709
35,2018/2/2,4.555,4.717
36,2018/2/1,4.532,4.694
37,2018/3/31,4.55,4.712
38,2018/3/30,4.547,4.709
39,2018/3/29,4.543,4.705
40,2018/3/28,4.55,4.712
41,2018/3/27,4.565,4.727
42,2018/3/26,4.538,4.7
43,2018/3/23,4.513,4.675
44,2018/3/22,4.516,4.678
45,2018/3/21,4.514,4.676
46,2018/3/20,4.511,4.673
47,2018/3/19,4.514,4.676
48,2018/3/16,4.515,4.677
49,2018/3/15,4.523,4.685
50,2018/3/14,4.537,4.699
51,2018/3/13,4.523,4.685
52,2018/3/12,4.534,4.696
53,2018/3/9,4.525,4.687
54,2018/3/8,4.527,4.689
55,2018/3/7,4.53,4.692
56,2018/3/6,4.518,4.68
57,2018/3/5,4.521,4.683
58,2018/3/2,4.513,4.675
59,2018/3/1,4.52,4.682
60,2018/4/30,4.589,4.751
61,2018/4/27,4.578,4.74
62,2018/4/26,4.596,4.758
63,2018/4/25,4.592,4.754
64,2018/4/24,4.593,4.755
65,2018/4/23,4.59,4.752
66,2018/4/20,4.584,4.746
67,2018/4/19,4.584,4.746
68,2018/4/18,4.577,4.739
69,2018/4/17,4.584,4.746
70,2018/4/16,4.588,4.75
71,2018/4/13,4.565,4.727
72,2018/4/12,4.561,4.723
73,2018/4/11,4.551,4.713
74,2018/4/10,4.538,4.7
75,2018/4/9,4.531,4.693
76,2018/4/3,4.545,4.707
77,2018/4/2,4.551,4.713
78,2018/5/31,4.582,4.744
79,2018/5/30,4.583,4.745
80,2018/5/29,4.575,4.737
81,2018/5/28,4.589,4.751
82,2018/5/25,4.593,4.755
83,2018/5/24,4.591,4.753
84,2018/5/23,4.6,4.762
85,2018/5/22,4.611,4.773
86,2018/5/21,4.599,4.761
87,2018/5/18,4.604,4.766
88,2018/5/17,4.608,4.77
89,2018/5/16,4.599,4.761
90,2018/5/15,4.604,4.766
91,2018/5/14,4.599,4.761
92,2018/5/11,4.602,4.764
93,2018/5/10,4.597,4.759
94,2018/5/9,4.594,4.756
95,2018/5/8,4.581,4.743
96,2018/5/7,4.578,4.74
97,2018/5/4,4.577,4.739
98,2018/5/3,4.579,4.741
99,2018/5/2,4.579,4.741
100,2018/6/29,4.496,4.658
101,2018/6/28,4.517,4.679
102,2018/6/27,4.517,4.679
103,2018/6/26,4.538,4.7
104,2018/6/25,4.547,4.709
