,date,buy_in,sell_out
0,2018/1/31,28.78,29.322
1,2018/1/30,28.87,29.412
2,2018/1/29,28.795,29.337
3,2018/1/26,28.735,29.277
4,2018/1/25,28.695,29.237
5,2018/1/24,28.86,29.402
6,2018/1/23,28.91,29.452
7,2018/1/22,28.99,29.532
8,2018/1/19,29.06,29.602
9,2018/1/18,29.2,29.742
10,2018/1/17,29.2,29.742
11,2018/1/16,29.195,29.737
12,2018/1/15,29.185,29.727
13,2018/1/12,29.245,29.787
14,2018/1/11,29.25,29.792
15,2018/1/10,29.245,29.787
16,2018/1/9,29.185,29.727
17,2018/1/8,29.15,29.692
18,2018/1/5,29.15,29.692
19,2018/1/4,29.23,29.772
20,2018/1/3,29.225,29.767
21,2018/1/2,29.265,29.807
22,2018/2/27,28.845,29.387
23,2018/2/26,28.875,29.417
24,2018/2/23,28.945,29.487
25,2018/2/22,28.92,29.462
26,2018/2/21,28.84,29.382
27,2018/2/14,28.965,29.507
28,2018/2/13,28.99,29.532
29,2018/2/12,29.035,29.577
30,2018/2/9,29.025,29.567
31,2018/2/8,29.005,29.547
32,2018/2/7,28.9,29.442
33,2018/2/6,29,29.542
34,2018/2/5,28.945,29.487
35,2018/2/2,28.865,29.407
36,2018/2/1,28.845,29.387
37,2018/3/31,28.755,29.297
38,2018/3/30,28.755,29.297
39,2018/3/29,28.8,29.342
40,2018/3/28,28.805,29.347
41,2018/3/27,28.785,29.327
42,2018/3/26,28.795,29.337
43,2018/3/23,28.81,29.352
44,2018/3/22,28.795,29.337
45,2018/3/21,28.825,29.367
46,2018/3/20,28.81,29.352
47,2018/3/19,28.84,29.382
48,2018/3/16,28.81,29.352
49,2018/3/15,28.835,29.377
50,2018/3/14,28.9,29.442
51,2018/3/13,28.9,29.442
52,2018/3/12,28.925,29.467
53,2018/3/9,28.94,29.482
54,2018/3/8,28.91,29.452
55,2018/3/7,28.9,29.442
56,2018/3/6,28.925,29.467
57,2018/3/5,28.93,29.472
58,2018/3/2,28.925,29.467
59,2018/3/1,28.95,29.492
60,2018/4/30,29.255,29.797
61,2018/4/27,29.27,29.812
62,2018/4/26,29.355,29.897
63,2018/4/25,29.3,29.842
64,2018/4/24,29.26,29.802
65,2018/4/23,29.175,29.717
66,2018/4/20,29.055,29.597
67,2018/4/19,28.99,29.532
68,2018/4/18,29.005,29.547
69,2018/4/17,29.005,29.547
70,2018/4/16,29.06,29.602
71,2018/4/13,28.94,29.482
72,2018/4/12,28.905,29.447
73,2018/4/11,28.845,29.387
74,2018/4/10,28.835,29.377
75,2018/4/9,28.845,29.387
76,2018/4/3,28.79,29.332
77,2018/4/2,28.785,29.327
78,2018/5/31,29.6,30.142
79,2018/5/30,29.68,30.222
80,2018/5/29,29.63,30.172
81,2018/5/28,29.58,30.122
82,2018/5/25,29.595,30.137
83,2018/5/24,29.57,30.112
84,2018/5/23,29.61,30.152
85,2018/5/22,29.55,30.092
86,2018/5/21,29.635,30.177
87,2018/5/18,29.555,30.097
88,2018/5/17,29.545,30.087
89,2018/5/16,29.525,30.067
90,2018/5/15,29.5,30.042
91,2018/5/14,29.38,29.922
92,2018/5/11,29.41,29.952
93,2018/5/10,29.51,30.052
94,2018/5/9,29.575,30.117
95,2018/5/8,29.43,29.972
96,2018/5/7,29.405,29.947
97,2018/5/4,29.355,29.897
98,2018/5/3,29.375,29.917
99,2018/5/2,29.385,29.927
100,2018/6/29,30.11,30.652
101,2018/6/28,30.225,30.767
102,2018/6/27,30.095,30.637
103,2018/6/26,30.05,30.592
104,2018/6/25,30.035,30.577
105,2018/6/22,29.95,30.492
106,2018/6/21,29.935,30.477
107,2018/6/20,29.79,30.332
108,2018/6/19,29.83,30.372
109,2018/6/15,29.635,30.177
110,2018/6/14,29.58,30.122
111,2018/6/13,29.53,30.072
112,2018/6/12,29.495,30.037
113,2018/6/11,29.46,30.002
114,2018/6/8,29.455,29.997
115,2018/6/7,29.365,29.907
116,2018/6/6,29.375,29.917
117,2018/6/5,29.455,29.997
118,2018/6/4,29.465,30.007
119,2018/6/1,29.49,30.032
120,2018/7/31,30.185,30.875
121,2018/7/30,30.18,30.87
122,2018/7/27,30.165,30.855
123,2018/7/26,30.14,30.83
124,2018/7/25,30.2,30.89
125,2018/7/24,30.28,30.97
126,2018/7/23,30.22,30.91
127,2018/7/20,30.285,30.975
128,2018/7/19,30.205,30.895
129,2018/7/18,30.155,30.845
130,2018/7/17,30.08,30.77
131,2018/7/16,30.15,30.84
132,2018/7/13,30.13,30.82
133,2018/7/12,30.11,30.8
134,2018/7/11,30.045,30.735
135,2018/7/10,29.965,30.655
136,2018/7/9,29.95,30.64
137,2018/7/6,30.07,30.76
138,2018/7/5,30.1,30.79
139,2018/7/4,30.065,30.755
140,2018/7/3,30.16,30.85
141,2018/7/2,30.09,30.78
142,2018/8/31,30.295,30.985
143,2018/8/30,30.255,30.945
144,2018/8/29,30.275,30.965
145,2018/8/28,30.3,30.99
146,2018/8/27,30.345,31.035
147,2018/8/24,30.355,31.045
148,2018/8/23,30.36,31.05
149,2018/8/22,30.305,30.995
150,2018/8/21,30.3,30.99
151,2018/8/20,30.34,31.03
152,2018/8/17,30.375,31.065
153,2018/8/16,30.425,31.115
154,2018/8/15,30.43,31.12
155,2018/8/14,30.385,31.075
156,2018/8/13,30.39,31.08
157,2018/8/10,30.28,30.97
158,2018/8/9,30.2,30.89
159,2018/8/8,30.195,30.885
160,2018/8/7,30.19,30.88
161,2018/8/6,30.205,30.895
162,2018/8/3,30.28,30.97
163,2018/8/2,30.25,30.94
164,2018/8/1,30.18,30.87
165,2018/9/28,30.105,30.795
166,2018/9/27,30.17,30.86
167,2018/9/26,30.27,30.96
168,2018/9/25,30.24,30.93
169,2018/9/21,30.28,30.97
170,2018/9/20,30.37,31.06
171,2018/9/19,30.36,31.05
172,2018/9/18,30.385,31.075
173,2018/9/17,30.38,31.07
174,2018/9/14,30.32,31.01
175,2018/9/13,30.38,31.07
176,2018/9/12,30.385,31.075
177,2018/9/11,30.385,31.075
178,2018/9/10,30.39,31.08
179,2018/9/7,30.345,31.035
180,2018/9/6,30.37,31.06
181,2018/9/5,30.375,31.065
182,2018/9/4,30.33,31.02
183,2018/9/3,30.28,30.97
184,2018/10/31,30.535,31.225
185,2018/10/30,30.555,31.245
186,2018/10/29,30.57,31.26
187,2018/10/26,30.575,31.265
188,2018/10/25,30.565,31.255
189,2018/10/24,30.52,31.21
190,2018/10/23,30.54,31.23
191,2018/10/22,30.495,31.185
192,2018/10/19,30.53,31.22
193,2018/10/18,30.53,31.22
194,2018/10/17,30.41,31.1
195,2018/10/16,30.485,31.175
196,2018/10/15,30.5,31.19
197,2018/10/12,30.44,31.13
198,2018/10/11,30.68,31.37
199,2018/10/9,30.54,31.23
200,2018/10/8,30.505,31.195
201,2018/10/5,30.405,31.095
202,2018/10/4,30.36,31.05
203,2018/10/3,30.24,30.93
204,2018/10/2,30.245,30.935
205,2018/10/1,30.11,30.8
206,2018/11/30,30.41,31.1
207,2018/11/29,30.41,31.1
208,2018/11/28,30.48,31.17
209,2018/11/27,30.47,31.16
210,2018/11/26,30.455,31.145
211,2018/11/23,30.475,31.165
212,2018/11/22,30.465,31.155
213,2018/11/21,30.465,31.155
214,2018/11/20,30.48,31.17
215,2018/11/19,30.48,31.17
216,2018/11/16,30.465,31.155
217,2018/11/15,30.42,31.11
218,2018/11/14,30.49,31.18
219,2018/11/13,30.475,31.165
220,2018/11/12,30.46,31.15
221,2018/11/9,30.38,31.07
222,2018/11/8,30.275,30.965
223,2018/11/7,30.33,31.02
224,2018/11/6,30.35,31.04
225,2018/11/5,30.335,31.025
226,2018/11/2,30.3,30.99
227,2018/11/1,30.495,31.185
228,2018/12/28,30.295,30.985
229,2018/12/27,30.37,31.06
230,2018/12/26,30.39,31.08
231,2018/12/25,30.38,31.07
232,2018/12/24,30.41,31.1
233,2018/12/22,30.4,31.09
234,2018/12/21,30.375,31.065
235,2018/12/20,30.41,31.1
236,2018/12/19,30.385,31.075
237,2018/12/18,30.44,31.13
238,2018/12/17,30.445,31.135
239,2018/12/14,30.435,31.125
240,2018/12/13,30.42,31.11
241,2018/12/12,30.445,31.135
242,2018/12/11,30.47,31.16
243,2018/12/10,30.445,31.135
244,2018/12/7,30.41,31.1
245,2018/12/6,30.42,31.11
246,2018/12/5,30.38,31.07
247,2018/12/4,30.28,30.97
248,2018/12/3,30.31,31
249,2019/1/31,30.315,31.005
250,2019/1/30,30.34,31.03
251,2019/1/29,30.39,31.08
252,2019/1/28,30.37,31.06
253,2019/1/25,30.4,31.09
254,2019/1/24,30.46,31.15
255,2019/1/23,30.47,31.16
256,2019/1/22,30.47,31.16
257,2019/1/21,30.425,31.115
258,2019/1/19,30.415,31.105
259,2019/1/18,30.42,31.11
260,2019/1/17,30.425,31.115
261,2019/1/16,30.405,31.095
262,2019/1/15,30.395,31.085
263,2019/1/14,30.42,31.11
264,2019/1/11,30.375,31.065
265,2019/1/10,30.36,31.05
266,2019/1/9,30.375,31.065
267,2019/1/8,30.415,31.105
268,2019/1/7,30.385,31.075
269,2019/1/4,30.435,31.125
270,2019/1/3,30.455,31.145
271,2019/1/2,30.365,31.055
